Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00    20035     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 4ul>, std::array<int, 4ul>, std::__detail::_Identity, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_bucket_index(std::__detail::_Hash_node<std::array<int, 4ul>, true> const*, unsigned long) const
  0.00      0.07     0.00    19998     0.00     0.00  std::array<int, 4ul> const& std::forward<std::array<int, 4ul> const&>(std::remove_reference<std::array<int, 4ul> const&>::type&)
  0.00      0.07     0.00    19753     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.07     0.00    19753     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.07     0.00    19753     0.00     0.51  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.07     0.00    19077     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.07     0.00    18657     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.07     0.00    18455     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.07     0.00    18455     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.07     0.00    18455     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.07     0.00    18455     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.07     0.00    18404     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.07     0.00    18404     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.07     0.00    18404     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.07     0.00    17661     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 2ul>, std::array<int, 2ul>, std::__detail::_Identity, boost::hash<std::array<int, 2ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_h2() const
  0.00      0.07     0.00    17548     0.00     0.57  void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int const&>(int const&)
  0.00      0.07     0.00    17548     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.07     0.00    17308     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.07     0.00    17308     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.07     0.00    16780     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::min()
  0.00      0.07     0.00    16780     0.00     0.00  std::log(long double)
